ID,top_s_dem_com_none_b_none_c_c,top_s_dem_cc_none_b_none_c_c
8821002,2.334,0.18600000000000003
8821003,2.061,0.239
8821006,2.339,0.18600000000000003
8822002,2.191,0.21100000000000002
8910001,2.0980000000000003,0.23
9101001,2.864,0.124
9101002,2.7460000000000004,0.135
9102001,2.677,0.142
9104001,3.475,0.084
9104002,2.641,0.146
9106001,3.392,0.08800000000000001
9107001,3.0660000000000003,0.10800000000000001
9113001,3.983,0.064
9116001,3.452,0.085
9122002,2.42,0.17300000000000001
9123001,2.055,0.24
9126001,2.411,0.175
9127001,2.524,0.159
9129002,2.524,0.159
9131001,2.515,0.16
9134001,2.352,0.183
9135001,2.404,0.17600000000000002
9140001,2.575,0.153
9400000,2.199,0.21
9402001,2.289,0.19399999999999998
9404001,2.539,0.157
9405001,2.11,0.228
9412001,2.362,0.182
9414001,2.775,0.132
9416001,2.094,0.231
9420001,2.275,0.196
9423001,2.585,0.152
9433001,2.017,0.249
9434001,2.292,0.193
9436001,2.356,0.183
9437002,2.761,0.133
10100002,3.011,0.11199999999999999
10100006,2.338,0.18600000000000003
10102001,2.7889999999999997,0.13
10111001,3.301,0.09300000000000001
10121001,2.399,0.17600000000000002
10122001,3.5860000000000003,0.079
10122003,3.515,0.08199999999999999
10133000,2.41,0.175
10134001,2.7089999999999996,0.138
10137001,2.622,0.14800000000000002
10140001,2.381,0.179
10142003,3.015,0.11199999999999999
10304001,2.727,0.136
10305001,1.8719999999999999,0.29
10306001,2.4419999999999997,0.17
10311001,2.825,0.127
10313001,3.8110000000000004,0.07
10322003,2.1109999999999998,0.228
10327001,2.6310000000000002,0.147
10328001,2.805,0.129
10340001,2.281,0.195
10343001,2.45,0.16899999999999998
10343002,2.984,0.114
10344003,3.097,0.106
10344004,2.7119999999999997,0.138
10351001,2.5140000000000002,0.161
10356001,2.772,0.132
10362001,2.7489999999999997,0.134
10363002,3.1239999999999997,0.10400000000000001
10364001,3.0860000000000003,0.107
10401001,2.5980000000000003,0.15
10405002,2.032,0.24600000000000002
10405005,2.029,0.24600000000000002
10411002,2.86,0.124
10414001,2.5989999999999998,0.15
10431000,2.068,0.237
10431001,1.858,0.294
10432002,2.294,0.193
10432003,2.3209999999999997,0.188
10440000,1.778,0.321
10503001,2.358,0.182
10514001,2.7110000000000003,0.138
10520001,2.741,0.135
10523002,2.737,0.135
10701002,2.391,0.177
10702002,2.489,0.16399999999999998
10704002,2.65,0.145
11020004,2.0340000000000003,0.245
11040001,3.2060000000000004,0.099
11130001,1.9069999999999998,0.27899999999999997
11141001,2.33,0.187
11143001,2.4659999999999997,0.16699999999999998
11143002,2.513,0.161
11147001,3.156,0.102
11147002,1.9040000000000001,0.28
11302001,2.323,0.188
11307001,2.4330000000000003,0.171
11308001,2.447,0.16899999999999998
11310001,2.259,0.19899999999999998
11310002,3.022,0.111
11310003,2.292,0.193
11312001,2.585,0.152
11315001,2.241,0.20199999999999999
11316001,2.459,0.168
11317001,3.034,0.11
11335002,3.031,0.11
11337001,2.541,0.157
11342001,2.65,0.14400000000000002
11405001,1.999,0.254
11500002,2.207,0.20800000000000002
11505001,2.492,0.163
11514001,2.146,0.22
11520002,2.275,0.196
11521001,1.8359999999999999,0.301
11530000,2.68,0.141
11532000,2.847,0.125
11536001,2.719,0.13699999999999998
11536004,2.71,0.138
11542001,2.937,0.11800000000000001
11545000,2.94,0.11699999999999999
11701001,3.0789999999999997,0.107
11710000,3.2680000000000002,0.095
11711000,3.341,0.091
12280002,2.8960000000000004,0.121
12284002,2.741,0.135
12284003,2.705,0.139
12284005,2.766,0.133
12284006,2.398,0.17600000000000002
12284007,3.216,0.098
12285001,2.371,0.18100000000000002
12285003,2.178,0.214
12286002,2.09,0.23199999999999998
12287001,2.73,0.136
12288002,2.775,0.132
12288003,2.576,0.153
12288004,2.253,0.2
12289001,3.1830000000000003,0.1
12289002,3.478,0.084
12291001,2.659,0.14400000000000002
12400003,4.467,0.051
12400004,3.142,0.10300000000000001
12448001,2.8789999999999996,0.122
12452001,2.804,0.129
12561001,2.313,0.19
12563001,2.154,0.21899999999999997
12582001,2.781,0.131
12585001,2.593,0.151
12586001,2.097,0.231
12600001,2.556,0.155
12622001,2.5869999999999997,0.152
12660001,3.408,0.087
12802001,3.693,0.07400000000000001
12805001,3.1039999999999996,0.105
12806001,4.124,0.06
12820001,2.4530000000000003,0.16899999999999998
12825002,3.367,0.09
12861001,3.0460000000000003,0.109
12863002,2.853,0.125
12865001,2.367,0.18100000000000002
12872001,2.972,0.115
12876001,2.821,0.127
12876004,2.476,0.165
12878001,2.7489999999999997,0.134
12930001,1.8980000000000001,0.282
