ID,sf_s_glhym_por_mean_b_none_c_c,sf_s_glhym_perm_mean_b_none_c_c
10133000,0,-1171
10134001,1,-1227
10137001,1,-1289
10140001,2,-1414
10142003,4,-1412
10304001,3,-1365
10305001,4,-1352
10306001,8,-1297
10311001,6,-1292
10313001,2,-1156
10322003,7,-1316
10327001,7,-1249
10328001,7,-1242
10340001,9,-1261
10343001,7,-1212
10343002,3,-1124
10344003,6,-1191
10344004,6,-1190
10351001,0,-1052
10356001,2,-1101
10362001,2,-1107
10363002,0,-1052
10364001,4,-1153
10401001,10,-1444
10405002,6,-1367
10405005,3,-1382
10411002,4,-1152
10414001,10,-1208
10431000,8,-1299
10431001,2,-1367
10432002,4,-1332
10432003,6,-1228
10440000,2,-1384
10503001,4,-1320
10514001,3,-1357
10520001,4,-1341
10523002,4,-1341
10701002,2,-1358
10702002,6,-1269
10704002,5,-1278
11020004,6,-1296
11040001,3,-1267
11130001,1,-1409
11141001,4,-1179
11143001,4,-1235
11143002,3,-1239
11147001,3,-1301
11147002,2,-1348
11302001,7,-1227
11307001,7,-1243
11308001,5,-1281
11310001,4,-1152
11310002,8,-1260
11310003,7,-1207
11312001,8,-1239
11315001,7,-1241
11316001,6,-1208
11317001,6,-1194
11335002,4,-1349
11337001,3,-1359
11342001,5,-1276
11405001,1,-1410
11500002,2,-1371
11505001,6,-1307
11514001,2,-1360
11520002,8,-1255
11521001,8,-1257
11530000,7,-1288
11532000,1,-1427
11536001,7,-1289
11536004,6,-1293
11542001,6,-1308
11545000,6,-1312
11701001,5,-1367
11710000,7,-1418
11711000,7,-1422
12280002,18,-1437
12284002,15,-1402
12284003,9,-1274
12284005,13,-1375
12284006,22,-1396
12284007,14,-1337
12285001,19,-1518
12285003,23,-1373
12286002,9,-1198
12287001,8,-1588
12288002,6,-1669
12288003,19,-1409
12288004,11,-1290
12289001,16,-1376
12289002,16,-1328
12291001,25,-1301
12400003,6,-1183
12400004,9,-1248
12448001,21,-1380
12452001,14,-1221
12561001,19,-1512
12563001,18,-1517
12582001,19,-1520
12585001,19,-1520
12586001,25,-1277
12600001,14,-1253
12622001,8,-1230
12660001,1,-1100
12802001,12,-1335
12805001,2,-1091
12806001,6,-1205
12820001,19,-1520
12825002,14,-1357
12861001,3,-1130
12863002,18,-1508
12865001,11,-1330
12872001,9,-1257
12876001,20,-1359
12876004,16,-1375
12878001,22,-1325
12930001,6,-1180
