ID,sf_s_ornl_brd_p10_b_none_c_c,sf_s_ornl_brd_p25_b_none_c_c,sf_s_ornl_brd_p50_b_none_c_c,sf_s_ornl_brd_p75_b_none_c_c,sf_s_ornl_brd_p90_b_none_c_c,sf_s_ornl_brd_mean_b_none_c_c
11532000,38,94,142,186,267,136
11536001,61,119,176,388,1082,450
11536004,44,104,151,198,614,282
11542001,45,106,153,202,632,295
11545000,45,105,152,199,616,291
11701001,38,96,142,186,368,205
11710000,39,99,143,188,510,320
11711000,40,99,143,187,492,315
12280002,29,73,128,172,199,94
12284002,50,111,167,266,451,290
12284003,115,195,735,2005,3824,1307
12284005,157,263,481,851,1470,642
12284006,41,101,141,180,229,122
12284007,81,137,231,929,2459,772
12285001,120,159,226,298,478,278
12285003,46,106,151,196,290,134
12286002,10,25,50,75,90,66
12287001,54,111,152,193,302,166
12288002,43,103,142,181,260,267
12288003,63,113,149,184,278,187
12288004,35,88,134,172,195,121
12289001,63,119,172,367,1714,540
12289002,71,127,190,655,2132,657
12291001,42,102,140,178,217,167
12400003,324,849,1734,3314,4909,2143
12400004,410,846,1601,3184,4925,2096
12448001,98,148,331,808,1406,589
12452001,133,198,348,586,940,451
12561001,274,380,602,963,1353,707
12563001,43,104,158,256,583,236
12582001,98,122,159,197,448,228
12585001,220,312,488,729,975,546
12586001,178,258,398,587,850,448
12600001,145,221,373,735,1568,648
12622001,263,395,630,1047,1772,862
12660001,1058,1746,2895,4609,4956,3015
12802001,363,504,804,1476,2589,1154
12805001,421,593,923,1755,3586,1415
12806001,340,468,741,1513,2948,1205
12820001,67,118,162,223,374,162
12825002,38,95,156,292,924,357
12861001,1017,1464,2224,3507,4917,2547
12863002,469,604,974,1628,2608,1331
12865001,384,491,698,1145,2012,984
12872001,486,696,1124,2091,3726,1599
12876001,116,166,713,1770,3106,1159
12876004,158,235,379,982,1829,688
12878001,96,130,181,660,2385,685
12930001,10,25,50,75,90,43
