ID,gl_s_dga_ga_tot_n_none_c_c,gl_s_dga_ga_tot_s_none_c_c,gl_s_dga_gta_tot_n_none_c_c,gl_s_dga_gta_tot_s_none_c_c,gl_s_dga_rgla_tot_n_none_c_c,gl_s_dga_rgla_tot_s_none_c_c,gl_s_dga_gwe_tot_n_none_c_c,gl_s_dga_gwe_tot_s_none_c_c,gl_s_dga_gtwe_tot_n_none_c_c,gl_s_dga_gtwe_tot_s_none_c_c,gl_s_dga_rglwe_tot_n_none_c_c,gl_s_dga_rglwe_tot_s_none_c_c,gl_s_dga_galt_mean_n_none_c_c,gl_s_dga_galt_mean_s_none_c_c,gl_s_dga_gtalt_mean_n_none_c_c,gl_s_dga_gtalt_mean_s_none_c_c,gl_s_dga_rglalt_mean_n_none_c_c,gl_s_dga_rglalt_mean_s_none_c_c
3414001,5107461,4774247,2556,928165,6307666,10986052,201534477,131904786,7350,8491595,67052629,135125020,5415,5270,5411,5292,4593,4473
3421001,2535,4665737,95041,321716,261704,114138,52563,116521634,993698,2873124,1920815,569625,5315,5227,5153,5164,4292,4379
3430001,5109996,9439984,132063,2085243,6756472,13209218,201587039,248426420,1197158,18951671,70090615,158238493,5415,5249,5228,5371,4585,4511
3430003,5109996,9439984,132063,2085243,6756472,13209218,201587039,248426420,1197158,18951671,70090615,158238493,5415,5249,5228,5371,4585,4511
3431001,5109996,9439984,132063,2085243,6756472,13209218,201587039,248426420,1197158,18951671,70090615,158238493,5415,5249,5228,5371,4585,4511
3434003,5109996,9439984,132063,2085243,6756472,13209218,201587039,248426420,1197158,18951671,70090615,158238493,5415,5249,5228,5371,4585,4511
3450001,5109996,9439984,132063,2085243,6756472,13209218,201587039,248426420,1197158,18951671,70090615,158238493,5415,5249,5228,5371,4585,4511
3453001,5109996,9439984,132063,2085243,6756472,13209218,201587039,248426420,1197158,18951671,70090615,158238493,5415,5249,5228,5371,4585,4511
3802001,0,1724725,82740,2117679,4389405,8809579,0,41178252,546986,20051589,39918940,87123710,0,5107,5453,5231,4509,4476
3804002,0,2855529,137148,2445628,7381300,14007711,0,69801069,1013172,23136911,62408454,131734674,0,5167,5304,5221,4476,4415
3806001,0,2855529,137148,2445628,7381300,14007711,0,69801069,1013172,23136911,62408454,131734674,0,5167,5304,5221,4476,4415
3814003,0,2529990,1977,1763724,1295844,4888772,0,58028494,5189,17632189,8029723,35495781,0,5118,4832,5011,4410,4315
