index,mission,ndwi_threshold,quality_score,water_area_filled,water_area_filled_fraction,water_area_p,water_area_time,water_area_value
2019-12-19,L7,0.49200672952875,0.2127512643242974,427091946.07995147,0.0449832254878528,0.9900000000000052,1576713600000,407879972.7653911
2020-01-18,S2,0.4920666856097213,0.2477918795146285,274280648.71147925,0.2863062863226761,0.9900000000000052,1579305600000,195752374.76872116
2020-02-10,S2,0.4299010380437964,0.2055403063260536,467755618.22627497,0.0323808354243767,0.9900000000000032,1581292800000,452609300.5336624
2020-05-27,L7,0.4452729823344582,0.1889780265008644,388039188.19349104,0.0894365274230226,0.9900000000000044,1590537600000,353334310.6974164
2020-07-14,L7,0.4930093936420521,0.181484368213657,372419516.9188622,0.0928528155446756,0.9900000000000014,1594684800000,337839316.2091579
2020-07-21,L7,0.4769860998034176,0.2124747616514271,275376295.5860828,0.2095178902987179,0.9900000000000008,1595289600000,217680035.0966105
2020-11-03,S2,0.4762736298792362,0.2354334072878087,301329034.7142252,0.2599348193968237,0.9900000000000012,1604361600000,223003126.49676383
2020-12-16,S2,0.4766623899115072,0.2319577781690491,461355517.5476475,0.0357848845074971,0.9900000000000052,1608076800000,444845963.6353083
2021-01-29,L7,0.4928117306678472,0.2019565600151028,320979782.3031844,0.1438867869510584,0.9900000000000037,1611878400000,274795032.75132895
2021-02-15,L8,0.4611450004293784,0.1900015270052031,490121657.977577,0.0027016697110348,0.9900000000000012,1613347200000,488797511.13949686
2021-03-02,L7,0.489232683014044,0.1840176384690839,429090305.5798425,0.4844037380691355,0.98,1614643200000,221237357.58773917
2021-03-28,S2,0.4919060129038388,0.2243905321693593,329524925.04300106,0.1594086375638118,0.9900000000000037,1616889600000,276995805.698579
2021-05-05,S2,0.4911215339052225,0.2202421276070547,418834020.2778889,0.0495983462698699,0.990000000000002,1620172800000,398060545.5105444
2021-06-26,S2,0.4767735833195947,0.2119345916358394,486973212.9018688,0.0077674008966341,0.9900000000000048,1624665600000,483190696.731338
2021-11-26,S2,0.4922694981357173,0.2285747535921649,478033699.8194375,0.0988934827361056,0.9899999999999808,1637884800000,430759282.3790672
2021-12-08,L7,0.4604378059662324,0.2043297587716298,475014950.8193876,0.0157899898558633,0.9900000000000028,1638921600000,467514469.5645661
2021-12-15,L7,0.4920627255665771,0.2206518975256571,304468689.68878645,0.1817572263231235,0.9900000000000044,1639526400000,249129305.14871684
2022-01-30,S2,0.4915337633411007,0.2123426737594121,283469144.4759459,0.2589852434125509,0.990000000000004,1643500800000,210054819.0938955
2022-02-24,S2,0.4765063295948549,0.2203819817948986,322100859.8004923,0.1628363851080865,0.9900000000000064,1645660800000,269651120.1503735
2022-06-19,S2,0.4763673727229926,0.191612165972902,417511101.3281153,0.10243013166664,0.9900000000000032,1655596800000,374745384.24679255
2022-11-16,S2,0.4927526221611094,0.228635496026232,466432511.1609105,0.0254737282619098,0.990000000000004,1668556800000,454550736.11907727
2022-11-26,S2,0.4919224193901381,0.225634187969387,486585452.4974341,0.0086346615119101,0.9900000000000024,1669420800000,482383951.8184992
2024-07-13,S2,0.4925714146615437,0.2050246847179527,489244136.02737504,0.0055042344720916,0.990000000000004,1720828800000,486551221.5885844
