index,mission,ndwi_threshold,quality_score,water_area_filled,water_area_filled_fraction,water_area_p,water_area_time,water_area_value
1999-06-27,L5,0.476786408687945,0.1910904410553478,369567843.0028637,0.0948537522815552,0.990000000000005,930441600000,334512946.3714413
2000-04-02,L7,0.4610930934197172,0.1868821831604553,452271072.1606005,0.0364242861415119,0.9900000000000012,954633600000,435797421.2146944
2000-07-07,L7,0.4769130638535613,0.1833580047701852,450669921.1946862,0.3028696970697418,0.9899999999999992,962928000000,314175658.6840071
2001-05-14,L7,0.4914366077418278,0.1959761131485712,168216526.73364353,0.4623021489835698,0.9900000000000012,989798400000,90449664.930128
2001-06-16,L5,0.4756881161627247,0.189876870423614,378212847.7058324,0.0915151679038693,0.9900000000000008,992649600000,343600635.4446326
2002-07-05,L5,0.4607491795495065,0.1814564729294435,439021610.24342257,0.0376527992490435,0.9900000000000054,1025827200000,422491217.6869351
2004-05-07,L5,0.4928730040467665,0.1739171344173538,394592864.9373426,0.0678027226853246,0.990000000000004,1083888000000,367838394.3423882
2005-02-27,L7,0.4923184004752126,0.2002982382633216,461150914.5765946,0.0371187155290077,0.9900000000000008,1109462400000,444033584.9624842
2005-07-05,L7,0.475234480883911,0.1784386239943371,488531262.0894056,0.3876834101995635,0.9799999999999998,1120521600000,299135796.4134881
2005-12-12,L7,0.477626800950766,0.1962487724180321,487074859.4217928,0.006181738541272,0.9900000000000038,1134345600000,484063889.9908204
2006-05-13,L5,0.4609029467995497,0.2041692114562975,482912745.3253658,0.0082528767907643,0.990000000000004,1147478400000,478927325.9375058
2006-05-21,L7,0.4614458257005416,0.1766369515568191,348413956.9811826,0.1106663269812942,0.9900000000000008,1148169600000,309856264.09305644
2007-07-02,L7,0.4489234275575998,0.195917366665575,83000258.46461788,0.0595212324140217,1.0,1183334400000,78059980.79012148
2008-12-04,L7,0.4466188559892238,0.1981494853504972,488299795.720927,0.0044410123349702,0.990000000000004,1228348800000,486131250.3049669
2008-12-11,L7,0.4740134077687417,0.204230465930153,150787954.76667237,0.5614871715401359,0.9900000000000002,1228953600000,66122452.54241156
2010-06-17,L7,0.4605434856562354,0.1893702834002708,461598512.7075769,0.0330005199425875,0.990000000000005,1276732800000,446365521.7835018
2012-04-03,L7,0.4759862653162336,0.1854857521406879,449906846.8942056,0.0467224983277126,0.9900000000000052,1333411200000,428886074.9925646
2012-06-06,L7,0.4770927383075291,0.1900111726495626,405204728.418568,0.072764153080691,0.9900000000000052,1338940800000,375720349.5308995
2014-06-12,L7,0.4448501824138041,0.2144671292345907,358598520.46813893,0.0970032755722223,0.9900000000000038,1402531200000,323813289.36737686
2014-06-19,L7,0.4292345267884871,0.2097204703120653,188866639.9757392,0.4022762165660343,0.99,1403136000000,112890082.61075948
2014-07-14,L7,0.4299389135505074,0.1825259503179266,353146153.2037697,0.1130981928304893,0.990000000000005,1405296000000,313205961.47138417
2015-01-22,L7,0.4922050993796211,0.1808989877327986,484053840.3605658,0.0061842613287584,0.990000000000004,1421884800000,481060324.91458696
2015-03-27,L7,0.4919725790125834,0.1811609214755861,432086111.3258891,0.0503646876003067,0.9900000000000064,1427414400000,410324229.3125293
2016-03-05,L8,0.4916419971624083,0.1972004057229215,453979652.5053348,0.0204156726535948,0.9900000000000037,1457136000000,444711352.5283932
2016-04-30,L7,0.4146407557002547,0.2100877018656178,451225104.7383903,0.0221304329669152,0.9900000000000012,1461974400000,441239297.804988
2016-05-24,L8,0.4918988041479009,0.2059317781543619,458522831.98026365,0.2290741265625932,0.9899999999999994,1464048000000,353487114.7353781
2016-06-17,L7,0.4457310432972485,0.1759048697106056,398384964.9992696,0.067489803503825,0.9900000000000062,1466121600000,371498041.99259067
2016-09-05,L7,0.4608563584463925,0.2125925180257209,409618361.9515219,0.0840281473908782,0.9900000000000022,1473033600000,375198889.8594493
2017-03-23,L7,0.4921800783004791,0.2007053829258587,181853686.51697883,0.4413770627990609,0.99,1490227200000,101587640.50293352
2017-04-01,L7,0.4929066995466491,0.1549982357934795,459785284.0259894,0.2191566175310638,0.9899999999999992,1491004800000,359020296.38829404
2017-05-11,L8,0.4781113929476923,0.1708054394526019,491268918.5805553,0.0053542621896478,0.9899999999999998,1494460800000,488638535.9848503
2017-11-17,S2,0.4917070795441817,0.202124771187532,487929640.3373256,0.0063290867974466,0.9900000000000024,1510876800000,484841491.2925837
2017-12-12,L8,0.4929124204539219,0.2088694290676243,225315789.6165747,0.2799005212448893,0.9900000000000037,1513036800000,162249782.65819162
2018-12-16,L7,0.4920636184117955,0.2202987987313771,461957822.8263821,0.1890965374133605,0.9899999999999912,1544918400000,374603198.0988985
2019-01-11,S2,0.4920692010504371,0.216729839877681,461978410.5726815,0.0193355661789759,0.9900000000000057,1547164800000,453045796.4417953
2019-03-19,S2,0.4454492395180022,0.2078437555297728,448281027.6242668,0.0499362888611618,0.990000000000002,1552953600000,425895536.7378429
2019-04-07,L7,0.4900573937287059,0.1801711881783777,469217431.9694986,0.1550954549814441,0.9899999999999992,1554595200000,396443940.8729645
2019-04-21,S2,0.4923487907178004,0.1996603637743967,489369040.2783029,0.005829651606187,0.9900000000000048,1555804800000,486516189.26662624
2019-04-23,L7,0.4763974368408934,0.1734183261282161,490007168.2298712,0.2009361455013282,0.98,1555977600000,391547016.57774
2019-06-12,S2,0.492512073878487,0.213023353634427,287932548.7217388,0.1584976089840277,0.9900000000000054,1560297600000,242295928.2006661
2019-10-23,L7,0.4303919820237139,0.2117774904049765,437127542.7823452,0.403625254196207,0.9899999999999988,1571788800000,260691827.21065772
