gauge_id,p_mean_cr2met_1979_2010
1001001,1.30189258713973
1001002,1.14127962917308
1001003,1.28057577870567
1020002,1.1511394966211
1020003,1.09403136716666
1021001,0.868820945202925
1021002,0.91278839558927
1041002,0.606770152395857
1044001,0.620113829863389
1050002,0.589659099480961
1050004,0.532324604080526
1201001,0.832088799166109
1201003,0.815945204671077
1201005,0.853205085126848
1210001,0.711916898807462
1211001,0.575018188825941
1300009,0.557225814761744
1310002,0.505388286137305
1410004,0.561252000690458
1502002,0.404287138630581
1502008,0.568598362376868
1610004,0.680175320015258
1730002,0.399523976730718
1730003,0.55842987942313
1730007,0.459173576700742
1730012,0.388226035338162
2101001,0.463761236265906
2103001,0.479002183339383
2103002,0.474418791966317
2103014,0.53740531572248
2104002,0.411736787132404
2104003,0.416429741375936
2104013,0.416474406471448
2105001,0.443167049966829
2105002,0.408872069143424
2105005,0.319018896575911
2105007,0.45136569806398
2110001,0.322014778015337
2110002,0.322014778015337
2110004,0.317173601247717
2110031,0.354907045051522
2112005,0.157861656514873
2112006,0.26347016396884
2112007,0.218315118932087
2113001,0.536742118575949
2120001,0.145546680658304
2510001,0.368133039032934
3022001,0.215206810249505
3041001,0.154549680055913
3041002,0.175488189766615
3041003,0.194999375167668
3041004,0.192305060661219
3041005,0.269184098018084
3050001,0.168985731023043
3404001,0.204633842959241
3414001,0.357789482715112
3421001,0.421021441601174
3430001,0.275764674873735
3430003,0.27668329260029
3431001,0.267977030036588
3434003,0.247210960264814
3450001,0.197469419141879
3453001,0.186473798638702
3802001,0.394832205636056
3804002,0.405734390642063
3806001,0.36938516143419
3814003,0.301282807611455
3815001,0.297340401243937
3815002,0.303486756407304
3820001,0.33782302876575
3820002,0.336918012493828
3820003,0.334698499020649
3825001,0.299107539690117
4301002,0.449966455270504
4302001,0.382317138618368
4308001,0.406281300754063
4311001,0.672508494479639
4313001,0.535900281902586
4314002,0.571659706967531
4320001,0.450107330793749
4323001,0.446969556260442
4501001,0.762469841120565
4503001,0.674642863339919
4511002,0.886069928660909
4512001,0.94347224023716
4513001,0.864622895299068
4514001,1.10323099528982
4515002,1.00125135963531
4520001,1.00961735935952
4522002,0.956654905902982
4523002,0.886485688223929
4530001,0.883730335152535
4531002,0.823022699412141
4532001,0.926829393606973
4533002,0.898312676671422
4537001,0.735961538189601
4558001,0.696052609114796
4703002,1.01736205683934
4704001,0.904999604687266
4704002,0.903243069601951
4711001,0.939036607994948
4712001,0.816689048089151
4714001,0.859552982261306
4716004,0.889904185358305
4721001,0.918977218147643
4723001,0.880432331752987
4726001,0.837113851696765
4730001,0.858021932276294
4810001,0.960271436979205
4810005,0.953894599942738
4810006,0.993517710802154
5100001,1.24975477445076
5101001,1.09868990279398
5110002,1.05520045285585
5120001,1.00949082532115
5200001,1.22890110386361
5221002,1.0673331048121
5320001,1.16783913030813
5401003,1.28356848640023
5402001,1.3238584604262
5402015,1.45846738667871
5403002,1.29045193465113
5406001,1.35071890974492
5410002,1.26382648388863
5410005,1.2272820033551
5411001,1.39931098238128
5414001,1.18959057861147
5421002,1.10589119250049
5423003,1.17042114898979
5701001,3.2366712163305
5701002,3.18903994386005
5702001,2.63884955267281
5703006,2.73281091382476
5704002,2.89337388188583
5705001,1.91710792029
5706001,1.51024099830667
5707002,1.7592704095616
5710001,2.46732184057598
5716001,2.1092563524134
5720001,1.43233607134479
5721001,1.46322279879094
5721016,1.70798128368525
5722001,1.77121010634334
5722002,1.46372552787485
5730008,1.40078463423296
5734001,1.17817371561661
5737002,1.2655700104253
5741001,1.47986194456855
5746001,1.27161974028638
5748001,1.80268671181979
6000003,3.66017596442961
6002001,3.99363321112004
6003001,3.89790052736127
6006001,3.97331990422234
6008005,3.8857068276848
6011001,1.88147006991371
6013001,4.45502336843948
6015001,2.6143326887014
6018001,2.28919377555227
6019003,2.93446669510215
6027001,4.06924248147027
6028001,4.45894389853915
6033011,2.65293630767435
6034022,2.34402654425694
6034023,3.54142462365788
6035001,3.25728020036318
6043001,1.9560158777886
6132001,2.07464259780457
7102005,4.78020629293402
7103001,4.89093802247154
7104002,4.76252476229394
7112001,5.13326423604147
7115001,5.38340936477335
7116001,4.22898213630515
7123001,3.69237550405819
7200002,2.48241677085583
7300001,3.73317991013293
7303000,3.94903490871276
7306001,4.4621062262734
7308001,4.77061227408621
7308002,4.21937226932918
7317003,5.03424584828488
7317005,5.01233773684215
7320003,5.54461804816766
7321002,4.68538909422009
7322001,4.58002712412662
7330001,5.66589078580714
7332001,4.49864198764023
7335001,3.95059582345871
7335002,2.48315476388702
7336001,2.74542583320432
7339001,2.55042980608201
7341001,2.58365494461158
7343001,2.44320452220852
7350001,5.6106280458753
7350002,5.5379602055344
7350003,5.71476326008253
7354002,5.52895417554656
7355001,5.22651173193841
7355002,5.59308642835635
7355003,6.01829104844591
7357002,3.19967279678843
7358001,3.71094143657435
7359001,3.45639334990082
7372001,4.10671563731954
7374001,4.76739312072947
7379002,3.20738570473167
7381001,2.22872988684267
7383001,3.657597112406
7400001,2.88504205724278
8104001,5.35003759326472
8105001,5.44481314679988
8106002,5.65478144198083
8112001,6.51624366620123
8114001,4.98063560478709
8117005,4.36981473602062
8117006,7.06686117491605
8123001,5.0263206405996
8124001,4.53759035238263
8124002,4.86715745967609
8130001,7.1881591975334604
8130002,6.80730153708645
8132001,5.27651145123354
8134003,3.18264687074001
8135002,4.2558022889699
8140002,4.37925796984071
8141001,4.28600281922148
8144001,2.5682251355923
8210003,3.10468318512816
8220001,3.1568013883321
8220008,3.29389969420387
8220009,3.16149110944652
