name,min,max,c1,c2,c3,c4,c5
sf_s_glhym_perm_mean_b_none_c_c,-1588.0,-1052.0,0.005980540054410555,-0.09932265657693455,0.1057436019567945,-0.13549642616100668,0.11774787733706628
sf_s_glhym_por_mean_b_none_c_c,0.0,23.0,-0.040915184893530215,0.01732025150651828,-0.02639657808132001,0.09816073254971686,-0.017521521015614078
sf_s_isric_clay_mean_b_none_c_c,76.0,450.0,0.07734710350812324,-0.1169606680405382,-0.07452756055710086,0.2657108712428322,-0.05916062113985124
sf_s_isric_clay_p10_b_none_c_c,52.0,388.0,0.045349461252627954,-0.1348691066404364,-0.09020731236545074,0.29608398341537534,-0.06931558942254634
sf_s_isric_clay_p25_b_none_c_c,67.0,411.0,0.06222818945519845,-0.1318929409903621,-0.08981763156265643,0.29983151809770087,-0.0647401972755606
sf_s_isric_clay_p50_b_none_c_c,73.0,450.0,0.0747925386120523,-0.11701808106668452,-0.07254853050388843,0.27603115497180025,-0.05624753947386718
sf_s_isric_clay_p75_b_none_c_c,83.0,486.0,0.090371362669115,-0.10884736729088608,-0.06206936928820439,0.24626015703968956,-0.0525362057890935
sf_s_isric_clay_p90_b_none_c_c,91.0,515.0,0.10255755404390655,-0.09884586976710769,-0.05942446639271396,0.21527882843859483,-0.051830351986536516
sf_s_isric_sand_mean_b_none_c_c,192.0,651.0,-0.2083339630081312,0.1281004532313471,0.13933979368512536,-0.08794058125319631,-0.08971169568442638
sf_s_isric_sand_p10_b_none_c_c,141.0,623.0,-0.22754915201969358,0.10510951224930545,0.11479984479545703,-0.01961262112927097,-0.0794219847096987
sf_s_isric_sand_p25_b_none_c_c,162.0,638.0,-0.22164746162070886,0.12046436371984075,0.12796127572413113,-0.060885530866446255,-0.08973101542283798
sf_s_isric_sand_p50_b_none_c_c,182.0,653.0,-0.2085016569595192,0.13010320342012258,0.13634637552732118,-0.09526931755067129,-0.0943319296039427
sf_s_isric_sand_p75_b_none_c_c,211.0,677.0,-0.18935175710992388,0.1363538954655739,0.1472830189863839,-0.12256821885110054,-0.09281074688662425
sf_s_isric_sand_p90_b_none_c_c,230.0,712.0,-0.15936948613925794,0.12826911588090273,0.1457364756597917,-0.12634325025719434,-0.07948780873018792
sf_s_isric_sbd_mean_b_none_c_c,92.0,140.0,-0.1205367746706769,-0.28820849019298483,-0.018669239267227185,-0.023299735616837392,-0.1337057151474271
sf_s_isric_sbd_p10_b_none_c_c,85.0,135.0,-0.1354816438592997,-0.2672852696109081,-0.08108383984708706,0.019077184910840345,-0.09203487742658711
sf_s_isric_sbd_p25_b_none_c_c,87.0,138.0,-0.12409946094378983,-0.2581125513410554,-0.055940117420830104,0.0040844603289238845,-0.09702069116536814
sf_s_isric_sbd_p50_b_none_c_c,92.0,144.0,-0.11103135027470284,-0.2607227849945805,-0.01762616061057582,-0.020921378884710486,-0.11830955030379471
sf_s_isric_sbd_p75_b_none_c_c,96.0,149.0,-0.0984451896698069,-0.2775456314538765,0.02585862980240342,-0.04611149121058418,-0.15005331230395008
sf_s_isric_sbd_p90_b_none_c_c,99.0,155.0,-0.08846285083399984,-0.26480643657721636,0.04222601238429447,-0.05903503170221765,-0.1661878445800497
sf_s_isric_scf_mean_b_none_c_c,110.0,379.0,-0.2546485809154341,-0.06697287873483167,-0.04581708188125301,0.08002058747771064,0.30278181976554613
sf_s_isric_scf_p10_b_none_c_c,76.0,339.0,-0.24469468166418976,-0.0449354160496344,-0.04877213491363558,0.16484708185065416,0.3214801939049913
sf_s_isric_scf_p25_b_none_c_c,96.0,357.0,-0.26127474236356607,-0.055794694741225795,-0.05283492022473561,0.1478267309942429,0.33855162797648364
sf_s_isric_scf_p50_b_none_c_c,109.0,386.0,-0.25565131181782186,-0.061480329272072545,-0.05220594975865002,0.09802801221228531,0.30960903520263033
sf_s_isric_scf_p75_b_none_c_c,123.0,435.0,-0.229544713263107,-0.06777440729789491,-0.037272475444734825,0.03387268213499551,0.2452362837602792
sf_s_isric_scf_p90_b_none_c_c,136.0,456.0,-0.21506335067435625,-0.08208767267202328,-0.019709260364626495,-0.028505980220184916,0.2223061862016086
sf_s_isric_silt_mean_b_none_c_c,148.0,502.0,0.18851170111479623,-0.042128596688006587,-0.10197401825720309,-0.16635478801016246,0.1786664082034275
sf_s_isric_silt_p10_b_none_c_c,127.0,453.0,0.17527741461694132,-0.04849335225306721,-0.12740943034865398,-0.1287498402032886,0.20223824015086947
sf_s_isric_silt_p25_b_none_c_c,133.0,465.0,0.18644663510284348,-0.0475193586381853,-0.11830888498937872,-0.1472098700458062,0.20226894411384472
sf_s_isric_silt_p50_b_none_c_c,139.0,510.0,0.1805152404757603,-0.040229993966046186,-0.09790356206196127,-0.15683688466243917,0.1768050158718783
sf_s_isric_silt_p75_b_none_c_c,149.0,547.0,0.18056507057594245,-0.03618033212673468,-0.08342622201381812,-0.1703058075651332,0.15377677743514712
sf_s_isric_silt_p90_b_none_c_c,184.0,579.0,0.19216864807336095,-0.035559425431411426,-0.0776374632123166,-0.19616138079206377,0.14293431645059612
sf_s_isric_socc_mean_b_none_c_c,98.0,1714.0,0.04821465581556428,0.19609945228313502,0.058881909387053954,0.1872652017046262,0.04913473009303621
sf_s_isric_socc_p10_b_none_c_c,64.0,1417.0,0.05078934285783125,0.168765357588938,0.022974020624241524,0.15411925912301544,0.09969236513262202
sf_s_isric_socc_p25_b_none_c_c,74.0,1572.0,0.04821776926177913,0.1763322386815647,0.033340421914231144,0.16555086331175117,0.08358377384605066
sf_s_isric_socc_p50_b_none_c_c,92.0,1716.0,0.04704820853870671,0.19223379858883638,0.05032509675765901,0.18354683949743947,0.062297637207386826
sf_s_isric_socc_p75_b_none_c_c,114.0,1858.0,0.04677952550476474,0.21065065093027757,0.07302458348934558,0.20581801316258377,0.031673206442369706
sf_s_isric_socc_p90_b_none_c_c,137.0,1984.0,0.048499631292928114,0.2236264580637636,0.09934818071875609,0.21678080527141091,-0.004123253503765807
sf_s_ornl_brd_mean_b_none_c_c,30.0,4038.0,0.0844065302696842,-0.11336429117588355,0.30242078826237506,0.014739414706315084,0.11798361922411307
sf_s_ornl_brd_p10_b_none_c_c,10.0,2001.0,0.04098997170220358,-0.04884598862256232,0.14551263683665194,0.029044128551364474,0.1004986633481955
sf_s_ornl_brd_p25_b_none_c_c,25.0,3243.0,0.03778379826352179,-0.04397879800559284,0.1456858296232866,0.021885437111870316,0.10146396072264587
sf_s_ornl_brd_p50_b_none_c_c,50.0,4775.0,0.04748875917935864,-0.05818547661295877,0.18823156420388992,0.019979335940947873,0.12450294647987148
sf_s_ornl_brd_p75_b_none_c_c,75.0,4947.0,0.10129196795914419,-0.15199398982071377,0.3914058282179838,0.0029716572040331198,0.16752811706949655
sf_s_ornl_brd_p90_b_none_c_c,90.0,4979.0,0.15739709606927466,-0.23627110035436558,0.5495322995615848,-0.014712756874886155,0.10376826019661237
sf_s_ornl_brd_tot_p_none_c_c,0.0,50.0,0.11403556960275901,-0.10442044027556968,0.32881966005949914,0.2129722809625378,-0.03959198988616837
